f (Hz)	Rs (Ohm)	Xs (Ohm)	Rs_CSE (Ohm)	Xs_CSE (Ohm)	Rs_ASE_diffuse (Ohm)	Xs_ASE_diffuse (Ohm)	Rs_relaxation (Ohm)	Xs_relaxation (Ohm)	Rs_local (Ohm)	Xs_local (Ohm)	Rs_anomalous_reflection (Ohm)	Xs_anomalous_reflection (Ohm)
47508101621.02793	0.018399326380407616	-0.03514968819956534	0.0019367729223665803	-0.0019367729223665803	0.019072459768271006	-0.03303446934395871	0.00030616582327592964	-0.012251822599518498	0.0003060703318090306	-0.012255645069032163	0.2518010891551806	-0.012251822599518498
59948425031.89421	0.021358094553015447	-0.04137694732553212	0.00217562357011547	-0.00217562357011547	0.022271361885965003	-0.03857513034024439	0.00030616582327592964	-0.015460046677306282	0.00030610582750513314	-0.01546307679739488	0.2518010891551806	-0.015460046677306282
75646332755.4629	0.024774473699874077	-0.04875737216754281	0.002443930243024162	-0.002443930243024162	0.0260067954675035	-0.04504509109176804	0.00030616582327592964	-0.019508366312280857	0.00030612813457200596	-0.019510768068144516	0.2518010891551806	-0.019508366312280857
95454845666.18327	0.028712458775239428	-0.057520087442069906	0.00274532557691087	-0.0027453255769108705	0.03036874951570815	-0.05260021712353924	0.00030616582327592964	-0.02461676630852484	0.00030614214987843076	-0.024618669876832953	0.2518010891551806	-0.02461676630852484
120450354025.87836	0.033243387794521094	-0.06794456090133882	0.0030838901988932523	-0.0030838901988932523	0.03546230631529468	-0.06142251629166103	0.00030616582327592964	-0.031062836005239857	0.00030615095419578574	-0.031064344659033488	0.2518010891551806	-0.031062836005239857
151991108295.2933	0.03844517450634185	-0.08036909681539929	0.0034642079754821763	-0.003464207975482176	0.04141017293284691	-0.07172452346990435	0.00030616582327592964	-0.03919685342076286	0.0003061564844698442	-0.03919804905708724	0.2518010891551806	-0.03919685342076286
191791026167.24847	0.04439783216376327	-0.09521027719474466	0.003891428074093283	-0.0038914280740932825	0.048355637309147693	-0.08375442065181697	0.00030616582327592964	-0.04946081928351942	0.00030615995800063625	-0.049461766831735345	0.2518010891551806	-0.04946081928351942
242012826479.43835	0.05118484854619308	-0.11298610334516879	0.004371334678234391	-0.004371334678234391	0.05646602015803485	-0.09780201581492473	0.00030616582327592964	-0.0624124752549937	0.00030616213962023965	-0.06241322618412789	0.2518010891551806	-0.0624124752549937
305385550883.34125	0.058892402081204505	-0.134344229039964	0.004910425300250959	-0.004910425300250959	0.06593670583025116	-0.11420572458171799	0.00030616582327592964	-0.07875561148970135	0.0003061635097965646	-0.07875620659485688	0.2518010891551806	-0.07875561148970135
385352859371.0535	0.06761769375359034	-0.16006357123277515	0.005515998751915255	-0.005515998751915255	0.0769958492483986	-0.1333607228701403	0.00030616582327592964	-0.09937831043835325	0.00030616437032917313	-0.09937878205232643	0.2518010891551806	-0.09937831043835325
